number,title,short_desc,Desc1,Desc2,hours,website,astc_travel_passport_participant,icon_color,long,lat,image_url,thumb_url,is_video,city,state,zip,address
11,Cradle of Aviation Museum ,"Explore over 150,000 square feet featuring 75 air and spacecraft from a hot air balloon to an actual Apollo Lunar Module and learn about why Long Island is called the Cradle of Aviation. ","""Explore over 150,000 square feet featuring 75 air and spacecraft from a hot air balloon to an actual Apollo Lunar Module and learn about Long Island's role and why we are called the Cradle of Aviation. Our eight exhibit galleries are in chronological order and throughout the museum our volunteer docents are there to share their aerospace experience. There are over 30 hands-on exhibits, a half dozen cockpits to climb into and many short films through-out the exhibits."" - from http://www.cradleofaviation.org/plan_your_visit/galleries.html","Must See: Charles Lindbergh's first plane (Jn-4 Jenny), Spitit of St. Louis, and the Jet Blue Sky Theater Planetarium. Also the Junior Jet Club for smaller visitors. ",Open Tuesday - Sunday 9:30 PM - 5:00 PM ; Open Mondays that fall on holidays and school breaks.,https://www.cradleofaviation.org/,,R,-73.597389,40.728077,http://www.williammaloney.com/aviation/cradleofaviationmuseum/RepublicP47Thunderbolt.jpg,http://www.williammaloney.com/aviation/cradleofaviationmuseum/RepublicP47Thunderbolt.jpg,,Garden City,NY,11530,Charles Lindbergh Blvd.
12,Long Island Science Center,A 'learning by doing philosophy' underpins the Science Center's programs and exhibits; come explore more than 30 hands-on exhibits.,"The mission of the Long Island Science Center is to promote the knowledge and love of Science, Technology, Engineering and Mathematics. Explore more than 30 hands-on exhibits in the Center. ""This 'learning by doing philosophy' underpins the Science Center's programs and exhibits.  As people freely explore the materials and activities available, they become empowered and motivated to learn more about Science and life."" - from http://www.lisciencecenter.org/ABOUTUS.aspx",Must See: 30 hands-on exhibits,Open Saturdays 11 AM - 4 PM (September - June); Open 11 AM - 4 PM Tuesday - Saturday (July and August),http://www.lisciencecenter.org/,Yes,R,-72.663195,40.916696,http://li4kids.com/images/li4kids584.jpg,http://li4kids.com/images/li4kids584.jpg,,Riverhead,NY,11901,11 West Main Street
13,Mid-Hudson Children's Museum,"The Mid-Hudson Children's Museum is the ideal destination for families with children ages 0-6, offering exhibits that get kids moving, exploring, building, pretending, collaborating, creating and discovering. ","""The Mid-Hudson Children's Museum is the ideal destination for families with children ages 0-6. We celebrate childhood and are proud to offer exhibits that get kids moving, exploring, building, pretending, collaborating, creating and discovering. Our exhibits focus on nature, science, literacy, art, music and community and allow children the opportunity to develop foundational learning skills."" - from http://www.mhcm.org/web/play/home",Must See: The Wonder Dome (sensory exhibit exploring light and color) and the Imagination Playground.,Open Tuesday - Saturday 9:30 AM - 5 PM; Sunday 11 AM - 5 PM,http://www.mhcm.org/,Yes,R,-73.93922,41.708785,http://kids.media.timeout.com/images/resizeBestFit/100516850/660/370/image.jpg,http://kids.media.timeout.com/images/resizeBestFit/100516850/660/370/image.jpg,,Poughkeepsie,NY,12601,75 N Water St
14,Milton J. Rubenstein Museum of Science & Technology (AKA: The Discovery Center),"Explore the human body, fossils and space in this kid-oriented learning center. ","Kid-oriented  center with a domed IMAX theater explores the human body, fossils & space.  Permanent exhibits include: Earth Science Discovery Cave, Life Sciences, the Lockheed Martin Flight & Space exhibit, Science Playhouse and Technotown.","Must See: Giant replicas of the human haeart and brain, fossil pit, and Coral Reef Adventure Tank, Science Playhouse (climbing maze), Silverman Planetarium, and giant kinetic sculpture. ","Open Wednesday - Sunday 10 AM - 5 PM; also open Mondays and Tuesdays during holidays / school vacations, and Tuesdays in the summer",http://www.most.org/,Yes,R,-76.155556,43.047102,http://denpubs.media.clients.ellingtoncms.com/img/croppedphotos/2012/01/27/SciencePlayhouseTunnel_t670.jpg?b3f6a5d7692ccc373d56e40cf708e3fa67d9af9d,http://denpubs.media.clients.ellingtoncms.com/img/croppedphotos/2012/01/27/SciencePlayhouseTunnel_t670.jpg?b3f6a5d7692ccc373d56e40cf708e3fa67d9af9d,,Syracuse,NY,13202,500 S Franklin St
15,Museum of Mathematics,,,Must See: ,,http://momath.org/,No,R,-73.987242,40.743405,http://gallivant.com/p/2012/12/museum-of-math-2.jpg,http://gallivant.com/p/2012/12/museum-of-math-2.jpg,,New York,NY,10010,11 E 26th St
16,Museum of the Earth at the Paleontological Research Institution,"Explore Earth's prehistoric past through fossils, science-inspired art, and engaging displays.  Watch paleontologists uncover fossils and dinosaur bones?","""Explore Earth and its prehistoric past?from the tiniest trilobite to the mighty mastodon? through engaging displays, hands-on features, stunning fossils, and science-inspired art...Watch paleontologists uncover dinosaur bones and other exciting fossils in Prep Lab.
Journey 540 million years back in time with the 500-foot mural Rock of Ages, Sands of Time."" - from http://www.priweb.org/planyourvisit.php","Must See: The fossil lab (take home your own fossils), Hyde Park Mastodon (one of the most complete mastodon skeletons ever found), and the 44 food Right Whale.  ",Open Monday - Saturday 10 AM - 5 PM; Sunday 11 AM - 5 PM (Summer Hours).  Monday 10 AM - 5 PM; Closed Tuesday - Wednesday; Thursday - Saturday 10 AM - 5 PM; Sunday 11 AM - 5 PM (Winter Hours).,http://www.priweb.org,Yes,R,-76.535936,42.466494,http://blogs.cornell.edu/bioee1780/files/2012/10/photo-1pag61d.jpg,http://blogs.cornell.edu/bioee1780/files/2012/10/photo-1pag61d.jpg,,Ithaca,NY,14850,1259 Trumansburg Rd
17,National Soaring Museum,,,Must See: ,,http://www.soaringmuseum.org/,?,R,-76.901785,42.12203,http://www.williammaloney.com/aviation/NationalSoaringMuseum/NationalSoaringMuseum.jpg,http://www.williammaloney.com/aviation/NationalSoaringMuseum/NationalSoaringMuseum.jpg,,Elmira,NY,14903,51 Soaring Hill Dr
18,"Natural History Museum of the Adirondacks, The WILD Center","This 54,000 square foot center is dedicated to helping visitors understand the Adirondacks region, and includes exhibit halls, animal encounters, live shows, and the opportunity to take a woodland showshoe to the Raquette River.  ","""There's a day's worth of things to see and do at the 54,000-square-foot Center and on our 81-acre campus. Come explore the exhibit halls, create your own work of art, meet one of our many animals at an animal encounter, take a woodland snowshoe down to the Raquette River, join us for a live show, or watch one of many amazing films produced by The Wild Center. "" - from http://www.wildcenter.org/","Must See: The ""Moments, Reimagining Nature through Art"" exhibit (create your own art) and the ""Wild Walk"" (coming in 2015) ","Open Memorial Day-Labor Day, 10 AM-6 PM; Labor Day - Columbus Day, 10 AM-5 PM; closed month of April; Friday, Saturday, and Sunday 1 PM - 5 PM until Memorial Day",http://www.wildcenter.org/,No,R,-74.436104,44.219734,http://www.northcountrypublicradio.org/news/images/wildwalk1.jpg,http://www.northcountrypublicradio.org/news/images/wildwalk1.jpg,,Tupper Lake,NY,12986,45 Museum Dr
19,New York Hall of Science,,,Must See: ,,http://nysci.org/,Yes,R,-73.85143,40.747176,http://archpaper.com/uploads/image/01-situ-studio-design-lab-newyork-hallofscience-archpaper-nyc.jpg,http://archpaper.com/uploads/image/01-situ-studio-design-lab-newyork-hallofscience-archpaper-nyc.jpg,,Corona,NY,11368,47-01 111th St
20,New York State Museum,The nation's oldest and largest state museum includes exhibits tracing New York's natural and cultural past including 9/11 artifacts and a 1890s carousel.,"The nation's oldest and largest state museum, the museum houses art, artifacts (prehistoric and historic), and ecofacts that reflect New York?s cultural, natural, and geological development.  Permanent exhibits include fossils from the area, birds of New York, Harlem in the 20's, minerals of New York, and others. ","Must See: An 1890's carousel, the Cohoes Mastodon skeleton, and fire fighting vehicles from the 19th and 20th centuries.  ",Open Tuesday - Sunday 9:30 AM - 5 PM; Closed Mondays.,http://www.nysm.nysed.gov/,No,R,-73.761752,42.648379,http://famouswonders.com/wp-content/uploads/2010/11/Albany-State-Museum.jpg,http://famouswonders.com/wp-content/uploads/2010/11/Albany-State-Museum.jpg,,Albany,NY,12230,222 Madison Ave
21,New York Transit Museum,,,Must See: ,,http://web.mta.info/mta/museum/,Yes,R,-73.989645,40.690333,http://www.insidebusinessnyc.com/wp-content/uploads/2013/05/nycmtamuseum6.jpg,http://www.insidebusinessnyc.com/wp-content/uploads/2013/05/nycmtamuseum6.jpg,,Brooklyn,NY,11201,Boerum Place & Schermerhorn Street
22,Niagara Science Museum,"""We are proud to be able to present our artifacts-antique science instruments and philosophical apparatus-in recreated 'old fashion' functional laboratories.""  The museum covers science from 1870-1930.  ","""The Niagara Science Museum (NSM) is a sanctuary for the preservation and appreciation of old science instruments and philosophical apparatus.""  - from http://www.niagarasciencemuseum.org/aboutus.htm ",Must See: The Discharge in Gases Laboratory (watch sparks jump) and other live demonstrations (instruments are fully functioning),"Open Tuesday, Thursday, Saturday, and Sunday from 12 - 2 PM (June 1st - October 15th); by appointment only during September and October.",http://www.niagarasciencemuseum.org/, ,R,-79.044379,43.119936,http://artvoice.com/issues/v8n25/art_of_summer/art2,http://artvoice.com/issues/v8n25/art_of_summer/art2,,Niagara Falls,NY,14305,3625 Highland Ave
23,Roberson Museum and Science Center,,,Must See: ,,http://www.roberson.org/,Yes,R,-75.91891,42.094613,http://media-cdn.tripadvisor.com/media/photo-s/06/17/4f/78/roberson-museum-and-science.jpg,http://media-cdn.tripadvisor.com/media/photo-s/06/17/4f/78/roberson-museum-and-science.jpg,,Binghamton,NY,13905,30 Front St
24,Rochester Museum and Science Center,,,Must See: ,,http://www.rmsc.org/,Yes,R,-77.58738,43.152621,http://luckeyclimbers.com/wp-content/uploads/2014/07/rochester2edited.jpg,http://luckeyclimbers.com/wp-content/uploads/2014/07/rochester2edited.jpg,,Rochester,NY,14607,657 East Ave
25,Schenectady Museum of Innovation and Science ,,,Must See: The planetarium,,http://www.misci.org/,Yes,R,-73.933717,42.81183,http://media.dailygazette.com/img/photos/2015/01/03/13trains2.jpg,http://media.dailygazette.com/img/photos/2015/01/03/13trains2.jpg,,Schenectady,NY,12308,15 Nott Terrace Heights
26,Sci-Tech Center of Northern New York,,,Must See: ,,http://www.scitechcenter.org/,Yes,R,-75.913118,43.974364,http://svcdn.simpleviewinc.com/v3/cache/www_iloveny_com/F19554034DBA714C1029079346AB98F3.jpg,http://svcdn.simpleviewinc.com/v3/cache/www_iloveny_com/F19554034DBA714C1029079346AB98F3.jpg,,Watertown,NY,13601,154 Stone St
27,Science Discovery Center of Oneonta,,,Must See: ,,http://www.oneonta.edu/sdc/,Yes,R,-75.062401,42.46796,http://www.oneonta.edu/sdc/images/rotate/image-4.jpg,http://www.oneonta.edu/sdc/images/rotate/image-4.jpg,,Oneonta,NY,13820,108 Ravine Parkway
28,Science Museum of Long Island,,,Must See: ,,http://www.smli.org/,?,R,-73.701804,40.815173,http://4.bp.blogspot.com/-HreUvoye-pA/VFjxw1UNIiI/AAAAAAAAAHs/5IpX5LOj4JI/s1600/IMG_6870.JPG,http://4.bp.blogspot.com/-HreUvoye-pA/VFjxw1UNIiI/AAAAAAAAAHs/5IpX5LOj4JI/s1600/IMG_6870.JPG,,Manhasset,NY,11030,1526 N Plandome Rd
29,Sciencenter,"The museum offers guests of all ages more than 250 exhibits, educational programs, a gift shop, and seasonal outdoor science playground and mini-golf course.","""The Sciencenter inspires excitement for science through interactive exhibits and programs that engage, educate and empower. Our non-profit, hands-on museum offers guests of all ages more than 250 exhibits, educational programs, a gift shop, and seasonal outdoor science playground and mini-golf course."" - from http://www.sciencenter.org/plan-your-visit.html","Must See: A thermal image of yourself on a 50"" screen in the Mars and Stars Exhibit, the mini golf course, the world?s only Kevlar cable suspension bridge (Science Playground), and the Sagan Planet Walk . For the littlest ones, visit Curiosity Corner (water table, infant area, and more).",Open Tuesday - Saturday 10 AM - 5 PM; Sunday 12 PM - 5 PM; closed Monday,http://www.sciencenter.org/,Yes,R,-76.504245,42.450043,http://cdn.mntm.me/6e/d7/bf/Sciencenter_Ithaca_New_York-6ed7bf919571486ca5c73484fb14dd07.jpg,http://cdn.mntm.me/6e/d7/bf/Sciencenter_Ithaca_New_York-6ed7bf919571486ca5c73484fb14dd07.jpg,,Ithaca,NY,14850,601 1st St
